,feature,weight,type_OS,type_MN
138,CNTRLBUY,0.5721678027325577,Self Report,Non Motor
148,SLPINJUR,0.543964848273382,Self Report,Non Motor
129,MCAYR,0.49520377670494015,Objective,Non Motor
63,FNCDTCOG,0.39204988573214933,Self Report,Non Motor
152,DRMOBJFL,0.36430442906657257,Self Report,Non Motor
179,SCAU26C,0.3125927693259479,Self Report,Non Motor
43,NP3RISNG,0.310126324416509,Objective,Motor
45,NP3FRZGT,0.303408881555571,Objective,Motor
16,NP2EAT,0.2945397423828471,Self Report,Motor
57,NP3RTALJ,0.26023281412678323,Objective,Motor
65,COGDXCL,0.2598275154880141,Self Report,Non Motor
82,GDSHOME,0.25936040286800655,Self Report,Non Motor
168,SCAU13,0.24132609756578063,Self Report,Non Motor
75,GDSDROPD,0.2397209673443516,Self Report,Non Motor
25,NP2FREZ,0.23047368908688312,Self Report,Motor
86,GDSENRGY,0.22766875726880773,Self Report,Non Motor
162,SCAU7,0.2267889923881267,Self Report,Non Motor
120,MCAVF,0.22556512482795346,Objective,Non Motor
32,NP3RIGLL,0.22254629497336204,Objective,Motor
52,NP3KTRML,0.21056186538987984,Objective,Motor
74,GDSSATIS,0.20821209976826988,Self Report,Non Motor
97,LNS1B,0.20661114717821608,Objective,Non Motor
51,NP3KTRMR,0.20137037227242988,Objective,Motor
96,LNS1A,0.1914242472482992,Objective,Non Motor
133,TMGAMBLE,0.19069817951467052,Self Report,Non Motor
