feature,weight,type_OS,type_MN
NP3BRADY,0.06744691030285291,Objective,Motor
MSEADLG,0.0659619365290564,Self Report,Non Motor
NP3FACXP,0.047421859573309105,Objective,Motor
NP2TRMR,0.04027293126225799,Self Report,Motor
NP3PSTBL,0.03742414570292395,Objective,Motor
NP3RTCON,0.03443483475058971,Objective,Motor
NP3RIGRU,0.029896949090479664,Objective,Motor
NP3RIGLU,0.02643826145566665,Objective,Motor
NP3GAIT,0.026102643255084275,Objective,Motor
NP3PRSPL,0.024462352357442874,Objective,Motor
NP3FTAPR,0.022226831751717906,Objective,Motor
NP3PRSPR,0.02183439977552771,Objective,Motor
NP3HMOVR,0.019433537160732154,Objective,Motor
NP3TTAPR,0.017763911894302778,Objective,Motor
NP2HWRT,0.017593926618203203,Self Report,Motor
NP3FTAPL,0.017026476396637062,Objective,Motor
NP3SPCH,0.014846389281225817,Objective,Motor
NP3RIGN,0.014755438789406402,Objective,Motor
NP2WALK,0.013972726478056044,Self Report,Motor
NP3TTAPL,0.013910958869072676,Objective,Motor
NP3HMOVL,0.01321182971649266,Objective,Motor
NP3RIGRL,0.011995732564539566,Objective,Motor
NP2DRES,0.011686087891556096,Self Report,Motor
NP3RISNG,0.011271397768888233,Objective,Motor
NP3RTARU,0.010811099445429772,Objective,Motor
